19,directed
19,conversation
19,feydrauthas
19,effort
19,cheek
19,history
19,bear
19,late
19,thy
19,stone
19,adjusted
19,failed
19,thrown
19,crouched
19,walk
19,direction
19,wisdom
19,breast
19,overhead
19,protectiva
19,difficult
19,wave
19,reminded
19,helped
19,paradise
19,fixed
19,fist
19,approach
19,victory
19,forgive
19,stiffened
19,growled
19,hadnt
19,companions
19,dinner
19,legions
19,thumper
18,abrupt
18,vladimir
18,belt
18,storms
18,sheath
18,hung
18,released
18,unable
18,gladiator
18,caution
18,troops
18,sank
18,tension
18,serve
18,stirred
18,figures
18,music
18,ships
18,thopters
18,dew
18,energy
18,humans
18,planets
18,gasped
18,agents
18,age
18,lieutenant
18,rumbled
18,share
18,travel
18,planetary
18,bound
18,common
18,saved
18,expression
18,bowed
18,supposed
18,makers
18,sides
18,tunnel
18,easily
18,calm
18,landing
18,rules
18,waters
18,listened
18,attempt
18,hanging
18,mark
18,catch
18,morning
18,major
18,broken
17,accident
17,sneered
17,plants
17,minds
17,hurry
17,produce
17,giant
17,combat
17,bodies
17,voices
17,carrier
17,security
17,fears
17,captive
17,teach
17,spoken
17,captured
17,doors
17,kilometers
17,crew
17,shocked
17,judge
17,continued
17,risk
17,murmured
17,questions
17,scar
17,cup
17,oc
17,seal
17,fatigue
17,rooms
17,czigo
17,direct
17,understood
17,fabric
17,flowing
17,sink
17,draw
17,discuss
17,law
17,peace
17,coffee
17,servant
17,survive
17,shouldve
17,charge
17,fast
17,harsh
17,required
17,beard
17,muscle
17,sitting
17,formal
17,wanna
17,study
17,ears
17,slope
17,view
16,static
16,sack
16,trouble
16,scarface
16,private
16,produced
16,meeting
16,running
16,telling
16,deeply
16,higher
16,band
16,pretty
16,burning
16,advanced
16,chest
16,therell
16,summoned
16,unconscious
16,pity
16,abilities
16,base
16,speaking
16,drop
16,ornithopter
16,lovely
16,hurried
16,bashar
16,remote
16,globe
16,womans
16,suspicion
16,worth
16,charged
16,scene
16,hiding
16,worked
16,paracompass
16,damn
16,chin
16,capable
16,stil
16,tested
16,ultimate
16,escaped
16,cet
16,convention
16,stupid
16,sensing
16,straight
16,nostrils
16,start
16,fissure
16,entered
16,rubbed
16,conditioning
16,speed
16,living
16,moonlight
15,precious
15,sword
15,duty
15,bases
15,mood
15,prespice
15,leaders
15,southern
15,tells
15,break
15,custom
15,lasguns
15,mystery
15,heads
15,explained
15,bitterness
15,noise
15,population
15,war
15,frightened
15,carryall
15,slammed
15,mote
15,creatures
15,warm
15,bird
15,tents
15,brings
15,rear
15,sister
15,suit
15,agent
15,contact
15,crest
15,couldve
15,lip
15,aircraft
15,deeper
15,commonly
15,swallow
15,wet
15,larger
15,making
15,gathering
15,brother
15,easy
15,hunting
15,admitted
15,entrance
15,throng
15,cliffs
15,hot
15,prison
15,threat
15,respect
15,dim
15,title
15,heart
15,ride
15,peril
15,shut
15,palms
15,limits
15,blind
15,golden
14,measure
14,cautious
14,taste
14,scowled
14,leaves
14,frowned
14,binoculars
14,abruptly
14,wouldve
14,facing
14,curve
14,hissing
14,corridor
14,climb
14,proper
14,glared
14,prevent
